,item_header,name,extra_info,oz,size,temperature,item_id,price_fillna
200,Matcha Mango Mojito (12oz cold),Matcha Mango Mojito,(12oz cold),12oz,12,,#0200#,5.0
201,Matcha Mango Mojito (16oz ICED),Matcha Mango Mojito,(16oz ICED),16oz,16,ICED,#0201#,5.5
202,Matcha Mango Mojito (16oz cold),Matcha Mango Mojito,(16oz cold),16oz,16,,#0202#,5.5
203,Monthly Coffee Subscription,Monthly Coffee Subscription - 12 oz,,,,,#0203#,17.0
204,Moonlight Jasmine  (Regular),Moonlight Jasmine,(Regular),,,,#0204#,30.0
205,Moonlight Jasmine (Regular),Moonlight Jasmine,(Regular),,,,#0205#,30.0
206,Nitro Coldbrew (12oz),Nitro Coldbrew,(12oz),12oz,12,,#0206#,4.2
207,Nitro Coldbrew (16oz),Nitro Coldbrew,(16oz),16oz,16,,#0207#,4.7
208,ORANGE Latte (12oz HOT),ORANGE Latte,(12oz HOT),12oz,12,HOT,#0208#,6.05
209,ORANGE Latte (12oz ICED),ORANGE Latte,(12oz ICED),12oz,12,ICED,#0209#,4.8
210,ORANGE Latte (16oz HOT (quad shot)),ORANGE Latte,(16oz HOT (quad shot)),16oz,16,HOT,#0210#,6.05
211,ORANGE Latte (16oz ICED),ORANGE Latte,(16oz ICED),16oz,16,ICED,#0211#,5.3
212,ORANGE Latte (8oz HOT),ORANGE Latte,(8oz HOT),8oz,8,HOT,#0212#,4.8
213,Oatly Retail (Employee At Cost (no added discount to this please)),Oatly Retail,(Employee At Cost (no added discount to this please)),,,,#0213#,3.0
214,On Tap Iced Tea (Large- 16oz),On Tap Iced Tea,(Large- 16oz),16oz,16,Iced,#0214#,4.5
215,On Tap Iced Tea (Med- 12oz),On Tap Iced Tea,(Med- 12oz),12oz,12,Iced,#0215#,4.0
216,One & One (Regular),One & One,(Regular),,,,#0216#,3.6
217,Oolong- Bao Zhong (12oz HOT),Oolong- Bao Zhong,(12oz HOT),12oz,12,HOT,#0217#,4.0
218,Oolong- Bao Zhong (16oz HOT),Oolong- Bao Zhong,(16oz HOT),16oz,16,HOT,#0218#,4.75
219,Oolong- Bao Zhong (16oz ICED),Oolong- Bao Zhong,(16oz ICED),16oz,16,ICED,#0219#,4.0
220,Oolong- Ruby (12oz HOT),Oolong- Ruby,(12oz HOT),12oz,12,HOT,#0220#,5.0
221,Oolong- Ruby (16oz HOT),Oolong- Ruby,(16oz HOT),16oz,16,HOT,#0221#,5.75
222,Oolong- Ruby (16oz ICED),Oolong- Ruby,(16oz ICED),16oz,16,ICED,#0222#,5.0
223,Orange Blossom Latte (12oz HOT),Orange Blossom Latte,(12oz HOT),12oz,12,HOT,#0223#,5.25
224,Orange Blossom Latte (12oz ICED),Orange Blossom Latte,(12oz ICED),12oz,12,ICED,#0224#,4.75
225,Orange Blossom Latte (16oz HOT (quad shot)),Orange Blossom Latte,(16oz HOT (quad shot)),16oz,16,HOT,#0225#,7.0
226,Orange Blossom Latte (16oz HOT),Orange Blossom Latte,(16oz HOT),16oz,16,HOT,#0226#,6.0
227,Orange Blossom Latte (16oz ICED),Orange Blossom Latte,(16oz ICED),16oz,16,ICED,#0227#,5.25
228,Orange Blossom Latte (8oz HOT),Orange Blossom Latte,(8oz HOT),8oz,8,HOT,#0228#,4.75
229,Origin Burlap Tote (Regular),Origin Burlap Tote,(Regular),,,,#0229#,50.0
230,PISTACHIO Cold Brew (12OZ),PISTACHIO Cold Brew,(12OZ),12OZ,12,,#0230#,5.0
231,PISTACHIO Cold Brew (16OZ),PISTACHIO Cold Brew,(16OZ),16OZ,16,,#0231#,5.5
232,Perrier/Fiji (Regular Price),Perrier/Fiji,(Regular Price),,,,#0232#,2.25
233,Pineapple Tee (Regular),Pineapple Tee,(Regular),,,,#0233#,21.0
234,Quiche (Regular),Quiche,(Regular),,,,#0234#,7.0
235,ROSE Latte (12oz HOT),ROSE Latte,(12oz HOT),12oz,12,HOT,#0235#,5.3
236,ROSE Latte (12oz ICED),ROSE Latte,(12oz ICED),12oz,12,ICED,#0236#,4.8
237,ROSE Latte (16oz HOT (quad shot)),ROSE Latte,(16oz HOT (quad shot)),16oz,16,HOT,#0237#,6.05
238,ROSE Latte (16oz ICED),ROSE Latte,(16oz ICED),16oz,16,ICED,#0238#,6.3
239,ROSE Latte (8oz HOT),ROSE Latte,(8oz HOT),8oz,8,HOT,#0239#,4.8
240,ROSE Matcha (12oz HOT),ROSE Matcha,(12oz HOT),12oz,12,HOT,#0240#,6.25
241,ROSE Matcha (12oz ICED),ROSE Matcha,(12oz ICED),12oz,12,ICED,#0241#,5.75
242,ROSE Matcha (16oz HOT),ROSE Matcha,(16oz HOT),16oz,16,HOT,#0242#,7.25
243,ROSE Matcha (16oz ICED),ROSE Matcha,(16oz ICED),16oz,16,ICED,#0243#,6.65
244,ROSE Matcha (8oz HOT),ROSE Matcha,(8oz HOT),8oz,8,HOT,#0244#,5.5
245,RWANDA | GIHANGA,RWANDA | GIHANGA,,,,,#0245#,25.0
246,RWANDA | GIHANGA Natural,RWANDA | GIHANGA Natural,,,,,#0246#,23.0
247,RWANDA | Gihanga (Regular),RWANDA | Gihanga,(Regular),,,,#0247#,20.0
248,RWANDA | Gihanga Natural (Regular),RWANDA | Gihanga Natural,(Regular),,,,#0248#,20.0
249,Refill (Regular),Refill,(Regular),,,,#0249#,0.96
250,Ritual Assorted  single chocolate (Regular),Ritual Assorted  single chocolate,(Regular),,,,#0250#,10.0
251,Ritual Mexico (Regular),Ritual Mexico,(Regular),,,,#0251#,12.0
252,Ritual Peru (Regular),Ritual Peru,(Regular),,,,#0252#,10.0
253,Rose Cardamom Latte (12oz HOT),Rose Cardamom Latte,(12oz HOT),12oz,12,HOT,#0253#,5.25
254,Rose Cardamom Latte (12oz ICED),Rose Cardamom Latte,(12oz ICED),12oz,12,ICED,#0254#,4.75
255,Rose Cardamom Latte (16oz HOT (quad shot)),Rose Cardamom Latte,(16oz HOT (quad shot)),16oz,16,HOT,#0255#,6.0
256,Rose Cardamom Latte (16oz HOT),Rose Cardamom Latte,(16oz HOT),16oz,16,HOT,#0256#,7.0
257,Rose Cardamom Latte (16oz ICED),Rose Cardamom Latte,(16oz ICED),16oz,16,ICED,#0257#,5.25
258,Rose Cardamom Latte (8oz HOT),Rose Cardamom Latte,(8oz HOT),8oz,8,HOT,#0258#,4.75
259,Rose Cardamom Matcha (12oz HOT),Rose Cardamom Matcha,(12oz HOT),12oz,12,HOT,#0259#,6.02
260,Rose Cardamom Matcha (12oz ICED),Rose Cardamom Matcha,(12oz ICED),12oz,12,ICED,#0260#,5.9
261,Rose Cardamom Matcha (16oz HOT),Rose Cardamom Matcha,(16oz HOT),16oz,16,HOT,#0261#,7.35
262,Rose Cardamom Matcha (16oz ICED),Rose Cardamom Matcha,(16oz ICED),16oz,16,ICED,#0262#,5.65
263,Rose Cardamom Matcha (8oz HOT),Rose Cardamom Matcha,(8oz HOT),8oz,8,HOT,#0263#,5.15
264,SONDER Beanie,SONDER Beanie,,,,,#0264#,20.0
265,SONDER Cap (Regular),SONDER Cap,(Regular),,,,#0265#,23.0
266,SONDER Cap Black-on-black (Regular),SONDER Cap Black-on-black,(Regular),,,,#0266#,21.0
267,SONDER Embroidered Caps,SONDER Embroidered Caps - Flower Crown / Beige,,,,,#0267#,25.72
268,SONDER Embroidered Tees,SONDER Embroidered Tees - L,,,,,#0268#,41.58
269,SONDER Sticker (Regular),SONDER Sticker,(Regular),,,,#0269#,0.94
270,SONDER Sticker Pack,SONDER Sticker Pack,,,,,#0270#,6.75
271,STAY COZY Mug,STAY COZY Mug,,,,,#0271#,16.12
272,Savory Croissant  (Regular),Savory Croissant,(Regular),,,,#0272#,5.5
273,Savory Croissant (Mushroom Swiss/ Chile Cheese) (Regular),Savory Croissant,(Mushroom Swiss/ Chile Cheese) (Regular),,,,#0273#,5.0
274,Savory Croissant (Regular),Savory Croissant,(Regular),,,,#0274#,5.5
275,Seasonal- Cinnamon Plum (12oz HOT),Seasonal- Cinnamon Plum,(12oz HOT),12oz,12,HOT,#0275#,4.5
276,Seasonal- Cinnamon Plum (16oz HOT),Seasonal- Cinnamon Plum,(16oz HOT),16oz,16,HOT,#0276#,5.25
277,Seasonal- Cinnamon Plum (16oz ICED),Seasonal- Cinnamon Plum,(16oz ICED),16oz,16,ICED,#0277#,4.5
278,Seasonal- Tangerine Ginger (16oz HOT),Seasonal- Tangerine Ginger,(16oz HOT),16oz,16,HOT,#0278#,5.25
279,Seasonal- Tangerine Ginger (16oz ICED),Seasonal- Tangerine Ginger,(16oz ICED),16oz,16,ICED,#0279#,4.5
