,item_header,name,extra_info,oz,temperature,item_id,price_fillna
297,Sweater Weather (Spiced-Maple Latte) (12oz hot),Sweater Weather,(Spiced-Maple Latte) (12oz hot),12oz,,#0297#,5.3
298,Sweater Weather (Spiced-Maple Latte) (12oz iced),Sweater Weather,(Spiced-Maple Latte) (12oz iced),12oz,,#0298#,4.8
299,Sweater Weather (Spiced-Maple Latte) (16oz HOT ONLY),Sweater Weather,(Spiced-Maple Latte) (16oz HOT ONLY),16oz,HOT,#0299#,6.05
300,Sweater Weather (Spiced-Maple Latte) (16oz iced),Sweater Weather,(Spiced-Maple Latte) (16oz iced),16oz,,#0300#,6.3
301,Sweater Weather (Spiced-Maple Latte) (8oz hot),Sweater Weather,(Spiced-Maple Latte) (8oz hot),8oz,,#0301#,4.8
308,Take-Home Chai Latte (Regular),Take-Home Chai Latte,(Regular),64oz,,#0308#,25.0
309,Take-Home House Latte (Regular),Take-Home House Latte,(Regular),64oz,,#0309#,25.0
310,Take-Home Oat Milk Latte (Regular),Take-Home Oat Milk Latte,(Regular),32oz,,#0310#,29.0
311,Take-Home Seasonal Latte (Regular),Take-Home Seasonal Latte,(Regular),64oz,,#0311#,29.0
313,Toasted Coconut Latte (12oz HOT),Toasted Coconut Latte,(12oz HOT),12oz,HOT,#0313#,5.25
314,Toasted Coconut Latte (12oz ICED),Toasted Coconut Latte,(12oz ICED),12oz,ICED,#0314#,4.75
315,Toasted Coconut Latte (16oz HOT),Toasted Coconut Latte,(16oz HOT),16oz,HOT,#0315#,6.0
316,Toasted Coconut Latte (16oz ICED),Toasted Coconut Latte,(16oz ICED),16oz,ICED,#0316#,5.25
317,Toasted Coconut Latte (8oz HOT),Toasted Coconut Latte,(8oz HOT),8oz,HOT,#0317#,4.75
326,Yama Cold Brew (Single Origin) (12oz),Yama Cold Brew,(Single Origin) (12oz),12oz,,#0326#,5.2
327,Yama Cold Brew (Single Origin) (16oz),Yama Cold Brew,(Single Origin) (16oz),16oz,,#0327#,5.7
